2024-07-03 05:30:20.332 [info] Log level: Info
2024-07-03 05:30:20.332 [info] Validating found git in: "git"
2024-07-03 05:30:20.332 [info] Using git "2.34.1" from "git"
2024-07-03 05:30:20.332 [info] > git rev-parse --show-toplevel [21ms]
2024-07-03 05:30:20.334 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.354 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.372 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.390 [info] > git rev-parse --show-toplevel [2ms]
2024-07-03 05:30:20.408 [info] > git rev-parse --show-toplevel [2ms]
2024-07-03 05:30:20.426 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.444 [info] > git rev-parse --show-toplevel [2ms]
2024-07-03 05:30:20.469 [info] > git rev-parse --show-toplevel [4ms]
2024-07-03 05:30:20.490 [info] > git rev-parse --show-toplevel [6ms]
2024-07-03 05:30:20.511 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.534 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.553 [info] > git rev-parse --show-toplevel [2ms]
2024-07-03 05:30:20.574 [info] > git rev-parse --show-toplevel [2ms]
2024-07-03 05:30:20.595 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.614 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 05:30:20.637 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 06:00:53.712 [info] > git rev-parse --show-toplevel [106ms]
2024-07-03 06:00:56.443 [info] > git rev-parse --show-toplevel [27ms]
2024-07-03 06:09:32.555 [info] > git rev-parse --show-toplevel [19ms]
2024-07-03 06:21:50.737 [info] > git rev-parse --show-toplevel [7ms]
2024-07-03 06:21:53.294 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 06:22:55.751 [info] > git rev-parse --show-toplevel [6ms]
2024-07-03 06:23:04.757 [info] > git rev-parse --show-toplevel [5ms]
2024-07-03 06:23:43.544 [info] > git rev-parse --show-toplevel [4ms]
2024-07-03 06:26:51.335 [info] > git rev-parse --show-toplevel [4ms]
2024-07-03 06:31:15.997 [info] > git rev-parse --show-toplevel [26ms]
2024-07-03 06:52:34.332 [info] > git rev-parse --show-toplevel [6ms]
2024-07-03 07:10:40.012 [info] > git rev-parse --show-toplevel [5ms]
2024-07-03 07:15:46.834 [info] > git rev-parse --show-toplevel [4ms]
2024-07-03 07:26:35.536 [info] > git rev-parse --show-toplevel [5ms]
2024-07-03 10:03:04.275 [info] > git rev-parse --show-toplevel [29ms]
2024-07-03 10:03:37.271 [info] > git rev-parse --show-toplevel [6ms]
2024-07-03 10:59:50.158 [info] > git rev-parse --show-toplevel [3ms]
2024-07-03 11:33:19.669 [info] > git rev-parse --show-toplevel [5ms]
